cost,accuracy,norm
5.3743,0.0000,17.656
5.9230,0.0000,85.842
5.4032,0.0000,10.086
4.6814,0.1250,15.476
4.4818,0.0625,21.172
3.8310,0.1562,14.623
4.1241,0.0938,23.245
4.2208,0.0938,23.111
4.3177,0.0938,18.872
3.4572,0.0625,15.414
3.7011,0.1250,15.726
3.7336,0.0938,16.794
3.4787,0.0938,16.822
3.3534,0.0625,17.011
3.1854,0.2188,15.410
3.3492,0.1562,09.753
3.1634,0.1562,12.111
3.1344,0.3125,14.757
3.3545,0.1250,11.243
3.3310,0.0625,13.707
3.4357,0.0938,14.155
3.1978,0.1250,16.797
3.4638,0.0312,10.568
2.8980,0.1562,10.803
3.3887,0.1562,10.874
2.7193,0.2812,16.310
2.7464,0.2812,15.285
2.8848,0.2188,11.123
2.6696,0.1562,17.568
3.2006,0.0625,16.983
2.5547,0.1875,14.611
2.5708,0.1250,13.499
3.0289,0.2188,18.023
2.9676,0.1875,17.358
2.6871,0.0625,14.818
2.9286,0.2500,10.056
2.5973,0.2500,13.109
2.9984,0.2188,16.195
2.5676,0.1562,13.446
3.0646,0.1875,14.815
3.3521,0.1875,14.234
3.3357,0.0625,18.645
2.5469,0.2188,12.812
2.8602,0.1875,11.593
3.0397,0.1875,19.228
2.3248,0.3750,14.736
2.7946,0.1562,11.563
3.0693,0.1875,13.211
2.6129,0.2500,13.581
2.6147,0.1875,12.364
1.5254,0.4688,07.388
1.0487,0.5312,05.494
1.2529,0.4375,05.534
0.8399,0.6875,05.103
1.0245,0.5625,03.928
0.9540,0.6562,03.904
0.8455,0.6250,03.590
0.8207,0.6250,03.141
0.8343,0.5938,03.343
0.7506,0.6562,03.957
0.8434,0.6562,05.163
0.5140,0.8125,02.561
0.9482,0.5312,03.340
0.7144,0.6250,03.324
0.5083,0.8125,04.239
0.9377,0.6875,05.422
0.5382,0.8750,03.647
0.4343,0.8750,03.351
